Date, Daily Fees ,average gas price,Date(UTC),Value (Wei),gas used,Date(UTC),Value,eth price,Date(UTC),Value,,,,,,,,
7/30/25, $-   ,,7/30/15,0,,7/30/15,0,,7/30/15,0,,,,,,,,
7/29/25, $-   ,,7/31/15,0,,7/31/15,0,,7/31/15,0,,,,,,,,
7/28/25, $-   ,,8/1/15,0,,8/1/15,0,,8/1/15,0,,,,,,,,
7/27/25, $-   ,,8/2/15,0,,8/2/15,0,,8/2/15,0,,,,,,,,
7/26/25, $-   ,,8/3/15,0,,8/3/15,0,,8/3/15,0,,,,,,,,
7/25/25, $-   ,,8/4/15,0,,8/4/15,0,,8/4/15,0,,,,,,,,
7/24/25, $-   ,,8/5/15,0,,8/5/15,0,,8/5/15,0,,,,,,,,
7/23/25, $-   ,,8/6/15,0,,8/6/15,0,,8/6/15,0,,,,,,,,
7/22/25, $82.67 ,,8/7/15,6.04684E+11,,8/7/15,49353826,,8/7/15,2.77,,,,,,,,
7/21/25, $98.29 ,,8/8/15,3.22714E+11,,8/8/15,376006093,,8/8/15,0.81,,,,,,,,
7/20/25, $13.67 ,,8/9/15,4.75467E+11,,8/9/15,38863003,,8/9/15,0.74,,,,,,,,
7/19/25, $21.24 ,,8/10/15,4.21655E+11,,8/10/15,74070061,,8/10/15,0.68,,,,,,,,
7/18/25, $13.49 ,,8/11/15,77838819162,,8/11/15,163481740,,8/11/15,1.06,,,,,,,,
7/17/25, $38.99 ,,8/12/15,4.44902E+11,,8/12/15,70102332,,8/12/15,1.25,,,,,,,,
7/16/25, $42.20 ,,8/13/15,2.68683E+11,,8/13/15,88234087,,8/13/15,1.78,,,,,,,,
7/15/25, $27.42 ,,8/14/15,1.93455E+11,,8/14/15,78746522,,8/14/15,1.8,,,,,,,,
7/14/25, $15.39 ,,8/15/15,1.44369E+11,,8/15/15,59565914,,8/15/15,1.79,,,,,,,,
7/13/25, $9.65 ,,8/16/15,1.2094E+11,,8/16/15,58241191,,8/16/15,1.37,,,,,,,,
7/12/25, $9.60 ,,8/17/15,1.3215E+11,,8/17/15,60515132,,8/17/15,1.2,,,,,,,,
7/11/25, $12.43 ,,8/18/15,1.46513E+11,,8/18/15,66816413,,8/18/15,1.27,,,,,,,,
7/10/25, $22.49 ,,8/19/15,1.94583E+11,,8/19/15,91746712,,8/19/15,1.26,,,,,,,,
7/9/25, $9.25 ,,8/20/15,99011782801,,8/20/15,63112713,,8/20/15,1.48,,,,,,,,
7/8/25, $12.19 ,,8/21/15,79543407701,,8/21/15,106379973,,8/21/15,1.44,,,,,,,,
7/7/25, $69.73 ,,8/22/15,5.52841E+11,,8/22/15,90744195,,8/22/15,1.39,,,,,,,,
7/6/25, $11.68 ,,8/23/15,73439482806,,8/23/15,117802449,,8/23/15,1.35,,,,,,,,
7/5/25, $11.19 ,,8/24/15,92409814705,,8/24/15,97648912,,8/24/15,1.24,,,,,,,,
7/4/25, $10.24 ,,8/25/15,76432335617,,8/25/15,114480057,,8/25/15,1.17,,,,,,,,
7/3/25, $6.98 ,,8/26/15,60481160549,,8/26/15,99511209,,8/26/15,1.16,,,,,,,,
7/2/25, $9.91 ,,8/27/15,59307091958,,8/27/15,147888097,,8/27/15,1.13,,,,,,,,
7/1/25, $13.51 ,,8/28/15,92879907335,,8/28/15,111903559,,8/28/15,1.3,,,,,,,,
6/30/25, $6.57 ,,8/29/15,56211090684,,8/29/15,99107570,,8/29/15,1.18,,,,,,,,
6/29/25, $7.47 ,,8/30/15,55155494457,,8/30/15,102643603,,8/30/15,1.32,,,,,,,,
6/28/25, $10.18 ,,8/31/15,58423521569,,8/31/15,129040364,,8/31/15,1.35,,,,,,,,
6/27/25, $10.73 ,,9/1/15,56671549652,,9/1/15,140186844,,9/1/15,1.35,,,,,,,,
6/26/25, $10.65 ,,9/2/15,59243651401,,9/2/15,139367393,,9/2/15,1.29,,,,,,,,
6/25/25, $8.76 ,,9/3/15,55051483461,,9/3/15,126323875,,9/3/15,1.26,,,,,,,,
6/24/25, $12.48 ,,9/4/15,58779015464,,9/4/15,167169621,,9/4/15,1.27,,,,,,,,
6/23/25, $11.96 ,,9/5/15,54768144366,,9/5/15,159443421,,9/5/15,1.37,,,,,,,,
6/22/25, $10.22 ,,9/6/15,55089818552,,9/6/15,142769611,,9/6/15,1.3,,,,,,,,
6/21/25, $11.36 ,,9/7/15,53594260637,,9/7/15,170954165,,9/7/15,1.24,,,,,,,,
6/20/25, $12.75 ,,9/8/15,64932639811,,9/8/15,159613715,,9/8/15,1.23,,,,,,,,
6/19/25, $11.30 ,,9/9/15,53779997784,,9/9/15,173606036,,9/9/15,1.21,,,,,,,,
6/18/25, $8.97 ,,9/10/15,54630657670,,9/10/15,141533806,,9/10/15,1.16,,,,,,,,
6/17/25, $8.74 ,,9/11/15,55713802958,,9/11/15,160019709,,9/11/15,0.98,,,,,,,,
6/16/25, $11.98 ,,9/12/15,61830202468,,9/12/15,186314190,,9/12/15,1.04,,,,,,,,
6/15/25, $8.73 ,,9/13/15,52313524792,,9/13/15,177583552,,9/13/15,0.94,,,,,,,,
6/14/25, $8.03 ,,9/14/15,53772389657,,9/14/15,171636301,,9/14/15,0.87,,,,,,,,
6/13/25, $7.43 ,,9/15/15,53191101494,,9/15/15,148568242,,9/15/15,0.94,,,,,,,,
6/12/25, $14.67 ,,9/16/15,1.11519E+11,,9/16/15,146153300,,9/16/15,0.9,,,,,,,,
