date,spy_price,msft_price,eth_price,oil_price,spy_earnings,msft_earnings,eth_fees,oil_consumption,GS3M,GS10
2018-01-02,2695.8,85.95,858.78,60.38,,,6029633.07,637495.0,1.42,2.46
2018-01-03,2713.1,86.35,942.01,61.55,,,7576743.21,637495.0,1.39,2.44
2018-01-04,2724.0,87.11,940.0,61.9,,,7217493.84,637495.0,1.39,2.46
2018-01-05,2743.2,88.19,962.77,61.41,,,6673681.98,637495.0,1.37,2.47
2018-01-08,2747.7,88.28,1129.3,61.72,,,5574568.29,637495.0,1.43,2.49
2018-01-09,2751.3,88.22,1283.7,62.87,,,7294218.7,637495.0,1.42,2.55
2018-01-10,2748.2,87.82,1248.0,63.42,,,7874410.34,637495.0,1.4,2.55
2018-01-11,2767.6,88.08,1135.5,63.68,,,7679163.17,637495.0,1.41,2.54
2018-01-12,2786.2,89.6,1257.2,64.23,,,10801264.87,637495.0,1.41,2.55
2018-01-16,2776.4,88.35,1020.1,63.67,,,4818898.03,637495.0,1.43,2.54
2018-01-17,2802.6,90.14,1017.5,63.92,,,6752099.72,637495.0,1.42,2.57
2018-01-18,2798.0,90.1,994.81,63.89,,,6884097.9,637495.0,1.43,2.62
2018-01-19,2810.3,90.0,1032.6,63.31,,,6652313.87,637495.0,1.42,2.64
2018-01-22,2833.0,91.61,995.08,63.57,,,4751765.25,637495.0,1.43,2.66
2018-01-23,2839.1,91.9,982.98,64.31,,,6062861.29,637495.0,1.42,2.63
2018-01-24,2837.5,91.82,1063.2,65.36,,,5748099.62,637495.0,1.41,2.65
2018-01-25,2839.2,92.33,1048.2,65.37,,,5505848.22,637495.0,1.4,2.63
2018-01-26,2872.9,94.06,1047.0,65.97,,,5203219.65,637495.0,1.39,2.66
2018-01-29,2853.5,93.92,1175.0,65.39,,,3221553.18,637495.0,1.43,2.7
2018-01-30,2822.4,92.74,1071.9,64.35,,,4395755.17,637495.0,1.42,2.73
2018-01-31,2823.8,95.01,1118.08,64.56,,,4553040.51,637495.0,1.44,2.72
2018-02-01,2822.0,94.26,1033.55,65.55,,,4515831.47,551408.0,1.46,2.78
2018-02-02,2762.1,91.78,920.85,65.07,,,5198787.41,551408.0,1.46,2.84
2018-02-05,2648.9,88.0,696.86,63.83,,,3720741.75,551408.0,1.49,2.77
2018-02-06,2695.1,91.33,783.83,63.11,,,4637440.14,551408.0,1.5,2.79
2018-02-07,2681.7,89.61,753.18,61.55,,,4161106.85,551408.0,1.53,2.84
2018-02-08,2581.0,85.01,805.4,60.94,,,5502781.98,551408.0,1.53,2.85
2018-02-09,2619.6,88.18,877.85,58.99,,,4568015.72,551408.0,1.53,2.83
2018-02-12,2656.0,89.13,865.62,59.08,,,4707774.05,551408.0,1.61,2.86
2018-02-13,2662.9,89.83,841.38,59.03,,,4638184.9,551408.0,1.57,2.83
2018-02-14,2698.6,90.81,919.67,60.51,,,3894887.87,551408.0,1.56,2.91
2018-02-15,2731.2,92.66,927.56,61.17,,,3832210.56,551408.0,1.56,2.9
2018-02-16,2732.2,92.0,937.5,61.55,,,3599666.18,551408.0,1.59,2.87
2018-02-20,2716.3,92.72,884.51,61.79,,,3374921.32,551408.0,1.64,2.88
2018-02-21,2701.3,91.49,839.1,61.52,,,3483705.7,551408.0,1.62,2.94
2018-02-22,2704.0,91.73,803.66,62.6,,,4030532.51,551408.0,1.61,2.92
2018-02-23,2747.3,94.06,856.65,63.41,,,2941507.37,551408.0,1.61,2.88
2018-02-26,2779.6,95.42,866.99,63.77,,,2550542.63,551408.0,1.65,2.86
2018-02-27,2744.3,94.2,871.44,62.9,,,2682413.31,551408.0,1.64,2.9
2018-02-28,2713.8,93.77,852.49,61.47,,,2616280.11,551408.0,1.63,2.87
2018-03-01,2677.7,92.85,870.04,60.8,,,2541319.27,642668.0,1.6,2.81
2018-03-02,2691.2,93.05,856.09,61.09,,,2442988.21,642668.0,1.62,2.86
2018-03-05,2720.9,93.64,850.24,62.39,,,1857255.27,642668.0,1.67,2.88
2018-03-06,2728.1,93.32,814.88,62.45,,,2206613.81,642668.0,1.65,2.88
2018-03-07,2726.8,93.86,749.98,61.02,,,2414958.67,642668.0,1.65,2.89
2018-03-08,2739.0,94.43,698.96,60.06,,,2584791.65,642668.0,1.64,2.86
2018-03-09,2786.6,96.54,725.89,61.92,,,2620390.74,642668.0,1.64,2.9
2018-03-12,2783.0,96.77,697.04,61.33,,,2214953.89,642668.0,1.68,2.87
2018-03-13,2765.3,94.41,689.57,60.75,,,2885489.42,642668.0,1.7,2.84
2018-03-14,2749.5,93.85,612.09,61.02,,,2908969.2,642668.0,1.73,2.81
2018-03-15,2747.3,94.18,610.13,61.25,,,2798757.71,642668.0,1.74,2.82
2018-03-16,2752.0,94.6,600.79,62.41,,,3198248.19,642668.0,1.75,2.85
2018-03-19,2712.9,92.89,556.16,62.13,,,2641361.47,642668.0,1.77,2.85
2018-03-20,2716.9,93.13,557.08,63.54,,,5811868.95,642668.0,1.78,2.89
2018-03-21,2711.9,92.48,560.24,64.95,,,2691030.62,642668.0,1.71,2.89
2018-03-22,2643.7,89.79,539.87,64.18,,,2872093.87,642668.0,1.69,2.83
2018-03-23,2588.3,87.18,543.42,65.71,,,2615515.54,642668.0,1.71,2.82
2018-03-26,2658.6,93.78,485.98,65.41,,,2005046.61,642668.0,1.76,2.85
2018-03-27,2612.6,89.47,448.48,65.18,,,2247244.95,642668.0,1.74,2.78
2018-03-28,2605.0,89.39,446.84,64.35,,,2331735.59,642668.0,1.7,2.77
2018-03-29,2640.9,91.27,384.12,64.87,,,2325204.99,642668.0,1.7,2.74
2018-04-02,2581.9,88.52,385.07,62.99,11299019.63,24.54,1783438.39,601151.0,1.74,2.73
2018-04-03,2614.4,89.71,415.55,63.46,11299019.63,24.54,1859380.69,601151.0,1.72,2.79
2018-04-04,2644.7,92.33,378.68,63.33,11299019.63,24.54,2067757.39,601151.0,1.68,2.79
2018-04-05,2662.8,92.38,381.52,63.54,11299019.63,24.54,2159784.45,601151.0,1.69,2.83
2018-04-06,2604.5,90.23,369.97,62.1,11299019.63,24.54,2388539.41,601151.0,1.7,2.77
2018-04-09,2613.2,90.77,399.05,63.43,11299019.63,24.54,2149137.7,601151.0,1.73,2.78
2018-04-10,2656.9,92.88,415.45,65.44,11299019.63,24.54,2474499.5,601151.0,1.71,2.8
2018-04-11,2642.2,91.86,430.14,66.74,11299019.63,24.54,3016993.0,601151.0,1.7,2.79
2018-04-12,2664.0,93.58,494.03,66.95,11299019.63,24.54,2879067.95,601151.0,1.72,2.83
2018-04-13,2656.3,93.08,493.48,67.33,11299019.63,24.54,3238898.2,601151.0,1.73,2.82
2018-04-16,2677.8,94.17,511.82,66.2,11299019.63,24.54,2792637.71,601151.0,1.76,2.83
2018-04-17,2706.4,96.07,503.19,66.51,11299019.63,24.54,4127535.57,601151.0,1.77,2.82
2018-04-18,2708.6,96.44,525.66,68.47,11299019.63,24.54,6064206.43,601151.0,1.78,2.87
2018-04-19,2693.1,96.11,567.49,68.33,11299019.63,24.54,7300995.88,601151.0,1.79,2.92
2018-04-20,2670.1,95.0,617.04,68.4,11299019.63,24.54,8256482.14,601151.0,1.78,2.96
2018-04-23,2670.3,95.35,644.13,68.47,11299019.63,24.54,2765743.17,601151.0,1.84,2.98
2018-04-24,2634.6,93.12,703.02,67.57,11299019.63,24.54,4206622.11,601151.0,1.84,3.0
2018-04-25,2639.4,92.31,617.36,67.92,11299019.63,24.54,5597654.74,601151.0,1.82,3.03
2018-04-26,2666.9,94.26,662.36,68.08,11299019.63,24.54,3507403.82,601151.0,1.79,3.0
2018-04-27,2669.9,95.82,643.97,67.98,11299019.63,24.54,3164041.21,601151.0,1.78,2.96
2018-04-30,2648.1,93.52,670.07,68.48,11299019.63,24.54,2974995.11,601151.0,1.84,2.95
2018-05-01,2654.8,95.0,671.26,67.13,11299019.63,24.54,3420321.9,627787.0,1.82,2.97
2018-05-02,2635.7,93.51,688.15,67.77,11299019.63,24.54,3285893.82,627787.0,1.81,2.97
2018-05-03,2629.7,94.07,778.95,68.26,11299019.63,24.54,4010433.34,627787.0,1.8,2.94
2018-05-04,2663.4,95.16,785.2,69.58,11299019.63,24.54,4105414.93,627787.0,1.8,2.95
2018-05-07,2672.6,96.22,754.03,70.62,11299019.63,24.54,3152754.81,627787.0,1.83,2.95
2018-05-08,2671.9,95.81,748.48,68.97,11299019.63,24.54,4886948.63,627787.0,1.84,2.97
2018-05-09,2697.8,96.94,751.62,71.05,11299019.63,24.54,4964890.94,627787.0,1.85,3.0
2018-05-10,2723.1,97.91,724.4,71.31,11299019.63,24.54,4652424.37,627787.0,1.86,2.97
2018-05-11,2727.7,97.7,676.21,70.68,11299019.63,24.54,4197085.07,627787.0,1.88,2.97
2018-05-14,2730.1,98.03,727.06,70.99,11299019.63,24.54,2760895.25,627787.0,1.9,3.0
2018-05-15,2711.4,97.32,705.73,71.37,11299019.63,24.54,2983276.48,627787.0,1.89,3.08
2018-05-16,2722.5,97.15,706.53,71.56,11299019.63,24.54,3875102.93,627787.0,1.88,3.09
2018-05-17,2720.1,96.18,668.97,71.57,11299019.63,24.54,3164367.82,627787.0,1.88,3.11
2018-05-18,2713.0,96.36,693.28,71.37,11299019.63,24.54,4116230.87,627787.0,1.87,3.06
