Earnings Announced,MSFT Revenue,Actual Quarter End,,
4/26/18,$24.54 ,3/31/18,,
7/19/18,$28.92 ,6/30/18,,
10/24/18,$26.82 ,9/30/18,,
1/30/19,$30.09 ,12/31/18,,
4/24/19,$29.08 ,3/31/19,,
7/18/19,$32.47 ,6/30/19,,
10/23/19,$30.57 ,9/30/19,,
1/29/20,$33.72 ,12/31/19,,
4/29/20,$33.06 ,3/31/20,,
7/22/20,$36.91 ,6/30/20,,
10/27/20,$35.02 ,9/30/20,,
1/26/21,$38.03 ,12/31/20,,
4/27/21,$37.15 ,3/31/21,,
7/27/21,$43.08 ,6/30/21,,
10/26/21,$41.71 ,9/30/21,,
1/25/22,$46.15 ,12/31/21,,
4/26/22,$45.32 ,3/31/22,,
7/26/22,$51.73 ,6/30/22,,
10/25/22,$49.36 ,9/30/22,,
1/24/23,$51.87 ,12/31/22,,
4/25/23,$50.12 ,3/31/23,,
7/25/23,$52.75 ,6/30/23,,
10/24/23,$52.86 ,9/30/23,,
1/30/24,$56.19 ,12/31/23,,
4/25/24,$56.52 ,3/31/24,,
7/30/24,$62.02 ,6/30/24,,
10/30/24,$61.86 ,9/30/24,,
1/29/25,$64.73 ,12/31/24,,
4/30/25,$70.10 ,3/31/25,,
7/30/25,$76.40 ,6/30/25,,
,,,,
,,,,
