Date,Price
7/30/25,70.36
7/29/25,69.18
7/28/25,66.71
7/27/25,65.29
7/25/25,65.16
7/24/25,66.03
7/23/25,65.25
7/22/25,66.21
7/21/25,67.2
7/18/25,67.34
7/17/25,67.54
7/16/25,66.38
7/15/25,65.37
7/14/25,65.81
7/11/25,68.45
7/10/25,66.57
7/9/25,68.38
7/8/25,68.33
7/7/25,67.93
7/4/25,66.49
7/3/25,67
7/2/25,67.45
7/1/25,65.45
6/30/25,65.11
6/27/25,65.52
6/26/25,65.24
6/25/25,64.92
6/24/25,64.37
6/23/25,68.51
6/20/25,74.93
6/19/25,73.82
6/18/25,75.14
6/17/25,74.84
6/16/25,71.77
6/13/25,71.29
6/12/25,66.64
6/11/25,66.9
6/10/25,63.91
6/9/25,64.22
6/6/25,64.58
6/5/25,63.37
6/4/25,62.85
6/3/25,63.41
6/2/25,62.52
5/30/25,60.79
5/29/25,60.94
5/28/25,61.84
5/27/25,60.89
5/26/25,61.49
5/25/25,61.93
5/23/25,61.53
5/22/25,61.2
5/21/25,61.57
5/20/25,62.56
5/19/25,62.69
5/16/25,61.97
5/15/25,61.15
5/14/25,62.68
5/13/25,63.25
5/12/25,61.56
5/9/25,61.02
5/8/25,59.91
5/7/25,58.07
5/6/25,59.09
5/5/25,57.13
5/2/25,58.29
5/1/25,59.24
4/30/25,58.21
4/29/25,60.42
4/28/25,62.05
4/25/25,63.02
4/24/25,62.79
4/23/25,62.27
4/22/25,64.31
4/21/25,63.08
4/17/25,64.68
4/16/25,62.47
4/15/25,60.75
4/14/25,61.05
4/11/25,61.5
4/10/25,60.07
4/9/25,62.35
4/8/25,59.58
4/7/25,60.7
4/4/25,61.99
4/3/25,66.95
4/2/25,71.71
4/1/25,71.2
3/31/25,71.48
3/28/25,69.36
3/27/25,69.92
3/26/25,69.65
3/25/25,69
3/24/25,69.11
3/21/25,68.28
3/20/25,68.26
3/19/25,67.16
3/18/25,66.9
3/17/25,67.37
3/14/25,66.91
3/13/25,66.27
3/12/25,67.38
3/11/25,65.93
3/10/25,65.68
3/7/25,67.04
3/6/25,66.36
3/5/25,66.31
3/4/25,68.26
3/3/25,68.37
2/28/25,69.76
2/27/25,70.35
2/26/25,68.62
2/25/25,68.93
