Earnings Announced,SPY Earnings,Actual Quarter End,Year,Quarter
4/27/18,"11,299,019.63",3/31/18,2018,Q1
7/27/18,"11,545,394.31",6/30/18,2018,Q2
10/26/18,"11,774,309.08",9/30/18,2018,Q3
1/28/19,"11,846,258.21",12/31/18,2018,Q4
4/26/19,"11,924,816.22",3/31/19,2019,Q1
7/26/19,"12,001,679.78",6/30/19,2019,Q2
10/28/19,"12,069,865.67",9/30/19,2019,Q3
1/28/20,"12,256,469.79",12/31/19,2019,Q4
4/28/20,"12,192,122.92",3/31/20,2020,Q1
7/28/20,"11,906,047.87",6/30/20,2020,Q2
10/28/20,"11,873,740.11",9/30/20,2020,Q3
1/28/21,"11,978,315.79",12/31/20,2020,Q4
4/28/21,"12,350,225.25",3/31/21,2021,Q1
7/28/21,"13,041,024.32",6/30/21,2021,Q2
10/28/21,"13,533,061.00",9/30/21,2021,Q3
1/28/22,"14,041,771.30",12/31/21,2021,Q4
4/28/22,"14,465,543.18",3/31/22,2022,Q1
7/28/22,"14,850,707.36",6/30/22,2022,Q2
10/28/22,"15,230,462.84",9/30/22,2022,Q3
1/27/23,"15,423,842.48",12/31/22,2022,Q4
4/28/23,"15,643,943.44",3/31/23,2023,Q1
7/28/23,"15,786,161.32",6/30/23,2023,Q2
10/27/23,"15,870,989.00",9/30/23,2023,Q3
1/26/24,"16,138,061.65",12/31/23,2023,Q4
4/26/24,"16,272,726.21",3/31/24,2024,Q1
7/26/24,"16,511,461.59",6/30/24,2024,Q2
10/28/24,"16,849,939.44",9/30/24,2024,Q3
1/28/25,"17,085,958.84",12/31/24,2024,Q4
4/28/25,"17,304,122.38",3/31/25,2025,Q1
,,,,
