asset,bundle,variable,coef,se,p,stars
SPY,activity,d_spy_earnings,-0.0190882306018246,0.0075477525217058,0.0114389561203708,**
SPY,activity,spy_earnings_lag1,9.383777495505906e-10,7.331240021077121e-10,0.2005551973488848,
SPY,activity,d_msft_earnings,0.0115207493674009,0.0067935639119981,0.0899175250155518,*
SPY,activity,msft_earnings_lag1,-0.0001457756581594,0.0001317997914809,0.2687098081778097,
SPY,activity,d_eth_fees,-7.238939725343519e-05,0.0001338738728274,0.5886948405680159,
SPY,activity,eth_fees_lag1,-3.4994284087638976e-11,2.7092235342443088e-11,0.1964707289318724,
SPY,activity,d_oil_consumption,0.0030430961847678,0.0054228563612149,0.5746877006712334,
SPY,activity,oil_consumption_lag1,-8.352997456608975e-10,1.0126138547047782e-08,0.9342574959361766,
MSFT,activity,d_spy_earnings,-0.0252916307418423,0.0128210304291001,0.048533450861367,**
MSFT,activity,spy_earnings_lag1,1.4402457422971607e-09,1.2499579093797716e-09,0.2492243576716655,
MSFT,activity,d_msft_earnings,0.014751911519402,0.0132834561971741,0.2667630921110734,
MSFT,activity,msft_earnings_lag1,-0.0002530247199006,0.0002086143562871,0.2251747144483844,
MSFT,activity,d_eth_fees,-3.802724897795533e-07,0.0002025263023622,0.9985018569604496,
MSFT,activity,eth_fees_lag1,-5.928612781616483e-11,3.8540401316581617e-11,0.1239789039927557,
MSFT,activity,d_oil_consumption,0.0018512455161647,0.0066934656460174,0.7821064339653104,
MSFT,activity,oil_consumption_lag1,5.102534035935143e-09,1.2239403176070369e-08,0.6767559251693384,
ETH,activity,d_spy_earnings,-0.0281560767326648,0.0357504124836396,0.4309462327167159,
ETH,activity,spy_earnings_lag1,-5.151470468584931e-09,3.803487916012665e-09,0.1756065814506502,
ETH,activity,d_msft_earnings,-0.0133286892750858,0.0357342083522237,0.7091519938678077,
ETH,activity,msft_earnings_lag1,0.0009037193526275,0.0006688527510448,0.1766478864184719,
ETH,activity,d_eth_fees,0.0003007292057912,0.0007134090112308,0.6733620663289707,
ETH,activity,eth_fees_lag1,1.309834182541845e-10,1.5588509863502458e-10,0.4007647623018449,
ETH,activity,d_oil_consumption,0.0135082784230993,0.021168463360156,0.5233876172460383,
ETH,activity,oil_consumption_lag1,-5.473047077988058e-08,3.9592348034028086e-08,0.1668643498623044,
OIL,activity,d_spy_earnings,-0.0020257803908347,0.0185091950193659,0.9128477631764192,
OIL,activity,spy_earnings_lag1,-9.471520319030143e-10,1.851871199989429e-09,0.6090312633165846,
OIL,activity,d_msft_earnings,0.0041474700524931,0.0152014975121279,0.7849815972053995,
OIL,activity,msft_earnings_lag1,0.0001565357207572,0.0003256634980953,0.6307531359455065,
OIL,activity,d_eth_fees,-6.340902643366274e-05,0.0002933019155394,0.8288394213660717,
OIL,activity,eth_fees_lag1,-3.548786748647142e-11,6.584400789425958e-11,0.5899083665947176,
OIL,activity,d_oil_consumption,0.0213973727569232,0.0205169611772151,0.2969893281013072,
OIL,activity,oil_consumption_lag1,-2.6091827793599e-08,4.78806863066942e-08,0.5857987117019856,
SPY,act+rates,d_spy_earnings,-0.0158986541830577,0.0086371518088501,0.0656613095946417,*
SPY,act+rates,spy_earnings_lag1,9.173104010967923e-10,1.633391043780959e-09,0.5743894186456711,
SPY,act+rates,d_msft_earnings,0.0100827535369006,0.0077957511060098,0.1958847647158125,
SPY,act+rates,msft_earnings_lag1,-9.58573103297547e-05,0.0001852263634397,0.6047971193984774,
SPY,act+rates,d_eth_fees,-7.679090863556596e-05,0.0001358609053865,0.57192609859368,
SPY,act+rates,eth_fees_lag1,-4.2489068727240055e-11,2.7309949278028303e-11,0.1197534838294584,
SPY,act+rates,d_oil_consumption,0.0036436498158957,0.0055267162973248,0.5097164133390641,
SPY,act+rates,oil_consumption_lag1,-9.886529991771811e-10,1.0148950306448774e-08,0.9223973804259312,
MSFT,act+rates,d_spy_earnings,-0.0195737003223707,0.0151923286439945,0.1976089550365178,
MSFT,act+rates,spy_earnings_lag1,9.75089806661579e-10,2.2628345014661403e-09,0.6665300228892139,
MSFT,act+rates,d_msft_earnings,0.0155520210922492,0.0138779895280255,0.2624475471747326,
MSFT,act+rates,msft_earnings_lag1,-0.0001577284989763,0.0002649248880219,0.5515957494382577,
MSFT,act+rates,d_eth_fees,-5.674871713705194e-06,0.0002057714945995,0.977998319773564,
MSFT,act+rates,eth_fees_lag1,-6.313314637832469e-11,4.0736642731268717e-11,0.1211924888500232,
MSFT,act+rates,d_oil_consumption,0.0023272648153808,0.0068246591764287,0.7330974004750788,
MSFT,act+rates,oil_consumption_lag1,5.910899871473034e-09,1.3331446397842502e-08,0.6574907277941988,
ETH,act+rates,d_spy_earnings,0.0195252236534814,0.0380847842826776,0.6081767169906863,
ETH,act+rates,spy_earnings_lag1,-1.4143129556982366e-08,5.881020259023543e-09,0.0161779158875156,**
ETH,act+rates,d_msft_earnings,0.0098442616443097,0.0408718659272939,0.8096662036185577,
ETH,act+rates,msft_earnings_lag1,0.0016450279435297,0.0007673681103978,0.0320547459307673,**
ETH,act+rates,d_eth_fees,0.0002779137331461,0.0006935226811973,0.6886206312257577,
ETH,act+rates,eth_fees_lag1,7.906754860629409e-11,1.5948979927946527e-10,0.6200686791987831,
ETH,act+rates,d_oil_consumption,0.0193641034826945,0.021399700515501,0.3655303877079738,
ETH,act+rates,oil_consumption_lag1,-7.134687514489146e-08,4.223440171799908e-08,0.0911605913865516,*
OIL,act+rates,d_spy_earnings,-0.0001475064636353,0.0198968916536853,0.9940849026104466,
OIL,act+rates,spy_earnings_lag1,1.5744123744604224e-10,3.817102888932896e-09,0.9670995708638472,
OIL,act+rates,d_msft_earnings,0.0016530256921243,0.0169138791127342,0.9221451772211328,
OIL,act+rates,msft_earnings_lag1,3.795826432145927e-05,0.0004296690910966,0.9296040490369148,
OIL,act+rates,d_eth_fees,-7.335289016460415e-05,0.0002939307714962,0.8029288803357506,
OIL,act+rates,eth_fees_lag1,-1.5004535139929666e-11,6.752487374025079e-11,0.8241523356359373,
OIL,act+rates,d_oil_consumption,0.0211349090567959,0.0210788729951066,0.3160257082687987,
OIL,act+rates,oil_consumption_lag1,-2.2923559081776706e-08,4.643318195839637e-08,0.6215257145880397,
SPY,act+rates+ar,d_spy_earnings,-0.0164792759014081,0.0097783371552439,0.0919337764419175,*
SPY,act+rates+ar,spy_earnings_lag1,7.927952137889229e-10,1.869932350050913e-09,0.6715876940443635,
SPY,act+rates+ar,d_msft_earnings,0.0103462748981837,0.0086738468115636,0.2329427232509554,
SPY,act+rates+ar,msft_earnings_lag1,-8.711138784460684e-05,0.0002106648490101,0.6792352014024874,
SPY,act+rates+ar,d_eth_fees,-6.530496637348066e-05,0.0001410300097821,0.6433233423566864,
SPY,act+rates+ar,eth_fees_lag1,-4.536816113399938e-11,3.0277549961788507e-11,0.1340269528503306,
SPY,act+rates+ar,d_oil_consumption,0.0046197090582777,0.006060723683635,0.4459184467610508,
SPY,act+rates+ar,oil_consumption_lag1,-3.1454015226989262e-09,1.1823223737239712e-08,0.7902115897478995,
MSFT,act+rates+ar,d_spy_earnings,-0.0197380051373569,0.0167787025329784,0.2394460346595683,
MSFT,act+rates+ar,spy_earnings_lag1,8.575159971469827e-10,2.499206389574426e-09,0.731511707157213,
MSFT,act+rates+ar,d_msft_earnings,0.0139191744455553,0.0145778989076225,0.3396720272338055,
MSFT,act+rates+ar,msft_earnings_lag1,-0.0001437408759755,0.000291730101531,0.6222113636438302,
MSFT,act+rates+ar,d_eth_fees,6.38243133281668e-06,0.0002208224102139,0.9769419485971388,
MSFT,act+rates+ar,eth_fees_lag1,-6.659704399401537e-11,4.4107987896101945e-11,0.1310782404892372,
MSFT,act+rates+ar,d_oil_consumption,0.0032724365454527,0.0074308216927747,0.6596569096747412,
MSFT,act+rates+ar,oil_consumption_lag1,4.336048240058856e-09,1.4847790614385322e-08,0.7702612175547312,
ETH,act+rates+ar,d_spy_earnings,0.0223429008589029,0.0403726433272707,0.5799780074585353,
ETH,act+rates+ar,spy_earnings_lag1,-1.5317129513515295e-08,6.37672327029639e-09,0.0163040293364134,**
ETH,act+rates+ar,d_msft_earnings,0.0095958715838713,0.0425050689835661,0.8213894212651073,
ETH,act+rates+ar,msft_earnings_lag1,0.0017925526281339,0.0008260024014461,0.029995162021875,**
ETH,act+rates+ar,d_eth_fees,0.0003583122315251,0.0006793834146583,0.5979103060111552,
